jdb	vrad	svrad	fwhm	contrast	bis_span	exptime
57186.791639	-60.24486	0.03042	7.95261	34.569	0.014990	2700.846
57194.736148	-60.23109	0.04093	7.89406	34.000	0.067090	2700.943
57211.722549	-60.44937	0.06100	7.91874	33.627	-0.069340	2700.764
57256.542816	-60.39378	0.04425	7.97087	32.551	-0.077020	2700.014
57271.550777	-60.56686	0.04207	7.93436	32.440	-0.116350	2452.822
57294.561176	-60.47338	0.03198	7.90803	32.325	0.032180	2700.157
57324.515825	-60.41128	0.05112	7.96576	32.327	0.018660	2700.768
57584.816334	-60.83346	0.09427	8.04004	33.592	0.000220	600.528
57595.700710	-60.85481	0.05770	7.87866	32.934	-0.161660	1800.381
57650.537435	-60.75600	0.02171	7.81752	32.403	-0.050370	2700.072
57652.595356	-60.87248	0.01754	7.90775	32.227	-0.033450	2700.069
57661.566328	-60.75291	0.01948	7.98951	32.002	-0.093510	2700.037
57680.545006	-60.81445	0.04449	7.85147	31.815	0.020240	1800.422
57682.504365	-60.89638	0.02700	7.86095	32.269	-0.034400	1800.000
