BJD RV eRV FWHM Contrast BIS exp
56989.740666	-3.92092	0.02509	7.82426	42.096	-0.11250	1800.683
57001.640882	-3.53647	0.02300	7.73609	42.361	0.00145	1800.780
57003.640065	-4.11709	0.01937	7.71262	41.800	-0.01624	1800.075
57004.682396	-3.59763	0.02263	7.74968	41.276	-0.00541	1800.932
57012.592977	-3.75798	0.02566	7.80047	42.030	-0.03335	1800.233
57027.631091	-3.72146	0.03574	7.68990	38.087	0.04302	1800.770
57063.528866	-4.02456	0.05181	7.77355	41.187	-0.02410	1800.102
57065.534295	-3.74442	0.03302	7.76903	41.060	-0.00757	1800.943
57192.938473	-3.84251	0.03767	7.74347	45.120	0.01185	1800.861
57205.925822	-3.96730	0.04649	7.82306	42.941	0.03207	1800.925
57261.823294	-4.14072	0.04184	7.70847	43.479	0.00495	1800.924
57341.740033	-3.88956	0.05660	7.82722	43.813	-0.08024	1800.895
57362.678177	-3.49435	0.01850	7.75263	43.012	-0.00904	2700.715
57367.607494	-4.16776	0.02672	7.72596	43.081	0.00961	2700.804
57381.547386	-3.92186	0.02486	7.66936	41.940	-0.00042	2700.686
57389.610441	-3.61683	0.02988	7.76154	43.413	-0.02558	1800.083
57413.581920	-4.09479	0.03288	7.77853	41.771	0.04996	2700.626
57587.836041	-3.52915	0.02814	7.79372	41.294	-0.06745	1800.382
57616.796911	-3.78390	0.02024	7.67173	42.253	-0.03829	1800.431
57681.574518	-4.02549	0.03158	7.69350	43.049	0.03337	1800.382
57689.706629	-3.71986	0.02108	7.72289	42.465	0.02337	1800.354
57691.675531	-4.13251	0.01765	7.72530	42.658	-0.01465	1800.394
57711.743027	-4.18272	0.03598	7.68311	42.736	-0.03452	1800.352
57713.676572	-3.56151	0.02072	7.80813	42.301	-0.01114	1800.353
57713.698411	-3.54916	0.02373	7.77659	42.830	-0.04693	1800.372
